TYP,PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,BI_ANZAHL,DI_ANZAHL,EM_ANZAHL,FITCH,DELETION_RATE,SPECIAL,PARTIAL_BI_ANZAHL,PARTIAL_DI_ANZAHL,PARTIAL_EM_ANZAHL,PARTIAL_FITCH,ALGO_ONE_ORDER,ALGO_ONE_DIFF,ALGO_TWO_DIFF
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_61,10,0.25,0.5,1.0,61,14,28,20,True,0.3,False,10,20,14,True,"(2, 1, 0)",0.2,0.2
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,46,15,14,True,0.3,False,32,11,10,True,"(2, 1, 0)",0.0,0.06666666666666667
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_62,10,0.25,0.5,1.0,62,30,23,14,True,0.7,True,8,0,4,True,"(2, 1, 0)",0.4888888888888889,0.5444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,64,5,16,False,0.7,True,20,0,4,True,"(2, 1, 0)",0.35555555555555557,0.4222222222222222
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_63,10,0.25,0.5,1.0,63,34,24,8,True,0.4,False,20,15,4,True,"(1, 2, 0)",0.2777777777777778,0.2222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,18,11,50,False,0.4,False,10,7,30,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_64,10,0.25,0.5,1.0,64,6,24,36,True,0.7,False,2,8,10,True,"(2, 1, 0)",0.4,0.4
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,11,62,False,0.7,False,2,4,18,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_65,10,0.25,0.5,1.0,65,20,25,20,True,0.4,False,12,15,12,True,"(1, 2, 0)",0.2777777777777778,0.2222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,1,84,False,0.4,False,2,1,50,False,"(1, 2, 0)",-1.0,-1.0
